bonferroni_p_value,bootstrap_lower,bootstrap_upper,data_source,economic_result_basis,execution_cost_block,family,largest_contribution,losses,matched_events,matched_matches,mean_pnl,net_pnl,numeric_provenance,object,pnl_without_largest,q_value,raw_p_value,reject_reason,rule_id,sample_count,selection_eligible,time_interval,unit,wins
1.0,-52.299612499999995,21.491512499999974,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,path_behavior,-0.915,563,1686,1686,-0.00904982206405693,-15.257999999999985,OBSERVED_VALUE,all_training_conditions,-14.343,0.9720775371442447,0.7975202479752025,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025,1,False,UNKNOWN,record,1123
1.0,-22.779449999999986,50.09428750000001,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,710,1684,1684,0.007727137767220904,13.012500000000003,OBSERVED_VALUE,all_training_conditions,13.937500000000007,0.9720775371442447,0.2460753924607539,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_ge_-23,1,False,UNKNOWN,record,974
1.0,-19.862637499999963,53.40233749999999,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,699,1684,1684,0.010059679334916876,16.940500000000018,OBSERVED_VALUE,all_training_conditions,17.865500000000004,0.9720775371442447,0.17628237176282371,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_ge_-38,1,False,UNKNOWN,record,985
1.0,-52.80764999999999,20.901812499999988,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,563,1686,1686,-0.00904982206405693,-15.257999999999985,OBSERVED_VALUE,all_training_conditions,-14.343,0.9720775371442447,0.789021097890211,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_ge_-4388,1,False,UNKNOWN,record,1123
1.0,-21.539262500000003,51.34404999999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,671,1686,1686,0.008685646500593133,14.644000000000023,OBSERVED_VALUE,all_training_conditions,15.569000000000006,0.9720775371442447,0.21287871212878712,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_ge_-52,1,False,UNKNOWN,record,1015
1.0,-22.217062499999987,50.314462499999976,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,712,1684,1684,0.008659441805225649,14.582499999999992,OBSERVED_VALUE,all_training_conditions,15.507500000000007,0.9720775371442447,0.21827817218278173,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_ge_300,1,False,UNKNOWN,record,972
1.0,-49.725974999999984,21.423587499999993,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,551,1652,1652,-0.008779055690072634,-14.50299999999999,OBSERVED_VALUE,all_training_conditions,-13.587999999999997,0.9720775371442447,0.7808219178082192,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_lt_-23,1,False,UNKNOWN,record,1101
1.0,-50.16978750000001,21.65893749999994,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,528,1585,1585,-0.008734384858044156,-13.843999999999987,OBSERVED_VALUE,all_training_conditions,-12.928999999999998,0.9720775371442447,0.7741225877412259,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_lt_-38,1,False,UNKNOWN,record,1057
1.0,-44.04501249999999,22.311537499999996,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,443,1330,1330,-0.007730451127819553,-10.281500000000005,OBSERVED_VALUE,all_training_conditions,-9.366499999999998,0.9720775371442447,0.7227277272272773,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_lt_-52,1,False,UNKNOWN,record,887
1.0,-52.04934999999999,19.633487499999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,563,1686,1686,-0.00904982206405693,-15.257999999999985,OBSERVED_VALUE,all_training_conditions,-14.343,0.9720775371442447,0.7944205579442056,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.0025__and__elapsed_seconds_lt_300,1,False,UNKNOWN,record,1123
